,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,libraries
1669,"Myracle, Lauren",How to Be Bad,Banned in Libraries,"Mlynowski, Sarah; Lockhart, E.",,,Wisconsin,School District of Waukesha,December 2021,Administrator,True
1672,"Myracle, Lauren","l8r, g8r",Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,True
1685,"Myracle, Lauren",Shine,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,True
1688,"Myracle, Lauren",The Infinite Moment of Us,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,True
1692,"Myracle, Lauren",ttfn (Internet Girls Series),Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,True
1693,"Myracle, Lauren",ttyl (Internet Girls Series),Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,True
1695,"Myracle, Lauren",Under the Moon: A Catwoman Tale,Banned in Libraries,,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,December 2021,Administrator,True
1696,"Myracle, Lauren",Victor and Nora: A Gotham Love Story,Banned in Libraries,,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,December 2021,Administrator,True
1697,"Myracle, Lauren",yolo (Internet Girls Series),Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,True
1701,"Nagle, Jeanne",GLBT Teens and Society,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1704,"Nardo, Don",Should Teens Have Access to Birth Control?,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1707,"Nardo, Don",Understanding Gender Identity,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
1717,"Newman, Lesléa",Heather Has Two Mommies,Banned in Libraries and Classrooms,,"Cornell, Laura",,Pennsylvania,Pennridge School District,December 2021,Administrator,True
1718,"Newman, Lesléa",Jailbait,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,True
1722,"Nguyen, Trung Le",The Magic Fish,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1732,"Norton, Preston",Neanderthal Opens the Door to the Universe,Banned in Libraries and Classrooms,,,,Wisconsin,Chippewa Falls Area Unified School District,June 2022,Formal Challenge,True
1745,"O'Neill, Kay",Princess Princess Ever After,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
1746,"O'Neill, Louise",Asking for It,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
1764,"Ostertag, Molly Knox",The Witch Boy (The Witch Boy Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1772,"Palacio, R. J.",White Bird,Banned in Libraries,,,,Texas,Katy Independent School District,October 2021,Administrator,True
1773,"Palmer, Bill",Homophobia: From Social Stigma to Hate Crimes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1774,"Pancholy, Maulik",The Best at It,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1777,"Pardes, Bronwen","Doing It Right: Making Smart, Safe, and Satisfying Choices About Sex",Banned in Libraries,,,,Indiana,Carmel Clay Schools,July 2021,Administrator,True
1781,"Parks, Peggy J.",How Prevalent Is Racism in Society?,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1782,"Parks, Peggy J.",Teenage Sex and Pregnancy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1795,"Paulsen, Gary",Sisters/Hermanas,Banned in Libraries,,,"Andújar, Gloria de Aragón",Florida,Indian River County School District,November 2021,Administrator,True
1796,"Payment, Simone","Friendship, Dating, and Relationships (Teens: Being Gay, Lesbian, Bisexual, or Transgender)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1805,"Perez, Ashley Hope",Out of Darkness,Banned in Libraries and Classrooms,,,,North Carolina,Moore County Schools,April 2022,Administrator,True
1809,"Pérez, Ashley Hope",Out of Darkness,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,True
1832,"Peters, Julie Anne",Between Mom and Jo,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1833,"Peters, Julie Anne",Far from Xanadu,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1834,"Peters, Julie Anne",grl2grl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1839,"Peters, Julie Anne",Lies My Girlfriend Told Me,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1841,"Peters, Julie Anne",Rage: A Love Story,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1847,"Philippe, Ben",The Field Guide to the North American Teenager,Banned in Libraries,,,,Texas,Katy Independent School District,February 2022,Formal Challenge,True
1851,"Picoult, Jodi",Nineteen Minutes,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
1867,"Pinsky, Drew","It Doesn't Have to Be Awkward: Dealing with Relationships, Consent, and Other Hard-to-Talk-About Stuff",Banned in Libraries and Classrooms,"Pinsky, Paulina",,,Tennessee,Collierville Schools,February 2022,Administrator,True
1869,"Pitman, Gayle E.",The Stonewall Riots: Coming Out in the Street,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
1874,"Polacco, Patricia",In Our Mothers' House,Banned in Libraries and Classrooms,,,,Florida,Broward County Public Schools,June 2022,Administrator,True
1884,"Polonsky, Ami",Gracefully Grayson,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1889,"Prager, Sarah","Queer, There and Everywhere: 23 People Who Changed the World",Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
1902,"Rachel, T. Cole","Bend, Don't Shatter: Poets on the Beginning of Desire",Banned in Libraries and Classrooms,"Costello, Rita D.",,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator,True
1903,"Radziszewicz, Tina","Ready or Not?: A Girl's Guide to Making Her Own Decisions about Dating, Love, and Sex",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1909,"Rapp, Adam",33 Snowfish,Banned in Libraries and Classrooms,,"Ering, Timothy Basil",,Idaho,Nampa School District,May 2022,Administrator,True
1913,"Raskin, Jamin B.",We the Students: Supreme Court Cases for and about Students,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1920,"Reed, Amy",The Nowhere Girls,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1922,"Reed, Christina Hammonds",The Black Kids,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
1924,"Reynolds, Jason",All American Boys,Banned in Libraries and Classrooms,"Kiely, Brendan",,,Florida,Indian River County School District,November 2021,Administrator,True
1937,"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned in Libraries and Classrooms,"Kendi, Ibram X.",,,Florida,Indian River County School District,November 2021,Administrator,True
1942,"Reynolds, Marilyn",Beyond Dreams (Hamilton High Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1943,"Reynolds, Marilyn",Detour for Emmy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1945,"Rhodes-Courter, Ashley",Three Little Words: A Memoir,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administrator,True
1952,"Richardson, Justin",And Tango Makes Three,Banned in Libraries and Classrooms,"Parnell, Peter","Cole, Henry",,Florida,Broward County Public Schools,June 2022,Administrator,True
1963,"Rivera, Gabby",Juliet Takes a Breath,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator,True
1967,"Robertson, David A.",The Barren Grounds (The Misewa Saga Series),Banned in Libraries,,,,Texas,Katy Independent School District,December 2021,Administrator,True
1978,"Rodi, Robert",Living Proud! Coming Out and Seeking Support (Living Proud! Growing Up Lgbtq),Banned in Libraries and Classrooms,"Ross, Laura",,,Florida,Indian River County School District,November 2021,Administrator,True
1989,"Rose, Melody",Abortion: A Documentary and Reference Guide,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
1992,"Rosen, L. C.",Jack of Hearts (and other parts),Banned in Libraries and Classrooms,,,,Texas,Clear Creek Independent School District,January 2022,Administrator,True
2002,"Rosin, Lindsey",Cherry,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
2007,"Rowell, Rainbow",Eleanor & Park,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2027,"Ryan, Sara",Empress of the World (Battle Hall Davies Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2031,"Ryle, Robyn","She/He/They/Me: For the Sisters, Misters, and Binary Resisters",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
2046,"Salisbury, Melinda",Hold Back the Tide,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
2049,"Sanchez, Alex",Bait,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2057,"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2064,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned in Libraries,,,,Idaho,Bonneville Joint School District No 93,April 2022,Formal Challenge,True
2070,"Sanna, Emily",Gay Believers: Homosexuality and Religion,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2076,"Satrapi, Marjane",Persepolis: The Story of a Childhood,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
2083,"Scheeres, Julia",Jesus Land: A Memoir,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,True
2084,"Schiffer, Miriam B.",Stella Brings the Family,Banned in Libraries and Classrooms,,"Clifton-Brown, Holly",,Florida,Broward County Public Schools,June 2022,Administrator,True
2092,"Schwab, V. E.",The Invisible Life of Addie LaRue,Banned in Libraries,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge,True
2096,"Schwenke, Chloe",SELF-ish: A Transgender Awakening,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,True
2102,"Seabold, Alice",Lucky,Banned in Libraries and Classrooms,,,,Virginia,Virginia Beach City Public Schools,May 2022,Formal Challenge,True
2103,"Seba, Jaime A.",Coming Out: Telling Family and Friends,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2104,"Seba, Jaime A.",Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2105,"Seba, Jaime A.",Gay and Lesbian Role Models,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2107,"Seba, Jaime A.","Gay Issues and Politics: Marriage, the Military, & Work Place Discrimination",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2108,"Seba, Jaime A.","Gay People of Color: Facing Prejudices, Forging Identities",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2109,"Seba, Jaime A.","Gays and Mental Health: Fighting Depression, Saying No to Suicide",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2110,"Seba, Jaime A.","Homosexuality Around the World: Safe Havens, Cultural Challenges",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2111,"Seba, Jaime A.",The LGBT Community,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2115,"Sebold, Alice",Lucky,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator,True
2123,"Sepetys, Ruta",Between Shades of Gray,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
2124,"Sepetys, Ruta",Out of the Easy,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2127,"Sharenow, Robert",The Berlin Boxing Club,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2132,"Shaw, Tucker",The Hookup Artist,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2137,"Sherrard, Brent R.",Final Takedown,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2139,"Shusterman, Neal",Game Changer,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator,True
2146,"Silvera, Adam",Infinity Reaper (Infinity Cycle Series),Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,November 2021,Formal Challenge,True
2149,"Silvera, Adam",More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2161,"Silverberg, Cory","Sex is a Funny Word: A Book about Bodies, Feelings, and YOU",Banned in Libraries and Classrooms,,"Smyth, Fiona",,Texas,Frisco Independent School District,May 2022,Administrator,True
2163,"Sim, Tara",Chainbreaker (Timekeeper Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2167,"Sindu, S. J.",Marriage of a Thousand Lies,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2173,"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
2189,"Smith, Andrew",Grasshopper Jungle (Grasshopper Jungle Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2193,"Smith, Andrew",Stick,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2195,"Smith, Heather",Chicken Girl,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
2207,"Sommer, Carl",SEX: If You're Scared of The Truth Don't Read This!,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2210,"Sones, Sonya",The Opposite of Innocent,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2213,"Sones, Sonya",What My Mother Doesn't Know (What My Mother Doesn't Know Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2237,"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,Banned in Libraries and Classrooms,,,"Siegel, Alexis",Florida,Indian River County School District,November 2021,Administrator,True
2242,"Steinbeck, John",Of Mice and Men,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2249,"Steven, Laura",The Exact Opposite of Okay (Izzy O'Neill Series),Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,March 2022,Administrator,True
2262,"Stone, Nic",Dear Martin,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2279,"Suzuma, Tabitha",Forbidden,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administrator,True
2285,"Talley, Robin",As I Descended,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2294,"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,True
2314,"Telgemeier, Raina",Drama: A Graphic Novel,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,True
2327,"Terciero, Rey","Meg, Jo, Beth, and Amy: A Modern Graphic Retelling of Little Women",Banned in Libraries,"Alcott, Louisa May","Indigo, Bre",,Texas,Katy Independent School District,January 2022,Administrator,True
2330,"Testa, Rylan Jay",The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity,Banned in Libraries and Classrooms,"Coolhart, Deborah; Peta, Jayme",,,Tennessee,Collierville Schools,February 2022,Administrator,True
2340,"Thomas, Angie",The Hate U Give,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator,True
2358,"Thompson, Craig",Blankets,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2365,"Todd, Anna",After We Collided (After Series),Banned in Libraries and Classrooms,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge,True
2387,"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,December 2021,Formal Challenge,True
2391,"Vaid-Menon, Alok",Beyond the Gender Binary,Banned in Libraries and Classrooms,,"Lukashevsky, Ashley",,Tennessee,Collierville Schools,February 2022,Administrator,True
2397,"Vande Velde, Vivian","Alison, Who Went Away",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2400,"Vaughan, Brian K.","Saga, Volume 1 (Saga Series)",Banned in Libraries,,"Staples, Fiona",,Illinois,Lake Forest Schools,December 2021,Formal Challenge,True
2414,"Volponi, Paul",Crossing Lines,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2415,"von Ziegesar, Cecily",Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2422,"Walden, Tillie",Spinning,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2430,"Walls, Jeannette",The Glass Castle,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2437,"Walton, K. M.",Empty,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2438,"Wang, Jen",The Prince and the Dressmaker,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
2445,"Watson, Renée",Piecing Me Together,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
2454,"Wersba, Barbara",Whistle Me Home,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2459,"Westerfeld, Scott",Uglies (Uglies Series),Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
2460,"Weyer, Hannah","On the Come Up: A Novel, Based on a True Story",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2464,"Whitcomb, Laura",A Certain Slant of Light,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2466,"White, Kiersten",The Dark Descent of Elizabeth Frankenstein,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
2473,"Wilkinson, Lili",Pink,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2476,"Williams, David",The Boy in the Dress,Banned in Libraries,,"Blake, Quentin",,Florida,Sarasota County School,October 2021,Formal Challenge,True
2481,"Wilson, Lakita",What Is Black Lives Matter? (What was...? Series),Banned in Libraries and Classrooms,,"Copeland, Gregory",,Florida,Indian River County School District,November 2021,Administrator,True
2486,"Winfield, Cynthia L.",Gender Identity: The Ultimate Teen Guide,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2490,"Wittlinger, Ellen",Parrotfish,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2498,"Woodson, Jacqueline",Beneath a Meth Moon: An Elegy,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator,True
2510,"Worth, Richard","Life at School and in the Community (Teens: Being Gay, Lesbian, Bisexual, or Transgender)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2512,"Wright, Bil",Putting Makeup on the Fat Boy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2515,"Yang, Gene Luen",American Born Chinese,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
2530,"Zoboi, Ibi",Black Enough: Stories of Being Young & Black in America,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
